Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
Q14CN4	reviewed	K2C72_HUMAN	Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)	KRT72 K6IRS2 KB35 KRT6 KRT6IRS2	Homo sapiens (Human)	511	KRT72	9606
Q15149	reviewed	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684	PLEC	9606
Q15323	reviewed	K1H1_HUMAN	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 HHA1 HKA1 KRTHA1	Homo sapiens (Human)	416	KRT31	9606
Q15628	reviewed	TRADD_HUMAN	Tumor necrosis factor receptor type 1-associated DEATH domain protein (TNFR1-associated DEATH domain protein) (TNFRSF1A-associated via death domain)	TRADD	Homo sapiens (Human)	312	TRADD	9606
Q28177	reviewed	BFSP2_BOVIN	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L) [Cleaved into: Phakinin N-terminal fragment; Phakinin C-terminal fragment]	BFSP2	Bos taurus (Bovine)	415	BFSP2	9913
Q29983	reviewed	MICA_HUMAN	MHC class I polypeptide-related sequence A (MIC-A)	MICA PERB11.1	Homo sapiens (Human)	383	MICA	9606
Q2M2I5	reviewed	K1C24_HUMAN	Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)	KRT24 KA24	Homo sapiens (Human)	525	KRT24	9606
Q3LHN2	reviewed	KR192_HUMAN	Keratin-associated protein 19-2	KRTAP19-2 KAP19.2	Homo sapiens (Human)	52	KRTAP19-2	9606
Q3LI59	reviewed	KR212_HUMAN	Keratin-associated protein 21-2	KRTAP21-2 KAP21.2	Homo sapiens (Human)	83	KRTAP21-2	9606
Q3LI64	reviewed	KRA61_HUMAN	Keratin-associated protein 6-1	KRTAP6-1 C21orf103 KAP6.1	Homo sapiens (Human)	71	KRTAP6-1	9606
Q3LI66	reviewed	KRA62_HUMAN	Keratin-associated protein 6-2	KRTAP6-2 KAP6.2	Homo sapiens (Human)	62	KRTAP6-2	9606
Q3LI70	reviewed	KR196_HUMAN	Keratin-associated protein 19-6	KRTAP19-6 KAP19.6	Homo sapiens (Human)	58	KRTAP19-6	9606
Q3LI72	reviewed	KR195_HUMAN	Keratin-associated protein 19-5	KRTAP19-5 KAP19.5	Homo sapiens (Human)	72	KRTAP19-5	9606
Q3LI76	reviewed	KR151_HUMAN	Keratin-associated protein 15-1	KRTAP15-1 KAP15.1	Homo sapiens (Human)	137	KRTAP15-1	9606
Q3SY46	reviewed	KR133_HUMAN	Keratin-associated protein 13-3	KRTAP13-3 KAP13.3	Homo sapiens (Human)	172	KRTAP13-3	9606
Q3SY84	reviewed	K2C71_HUMAN	Keratin, type II cytoskeletal 71 (Cytokeratin-71) (CK-71) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (Keratin 6 irs) (hK6irs) (hK6irs1) (Type-II keratin Kb34)	KRT71 K6IRS1 KB34 KRT6IRS1	Homo sapiens (Human)	523	KRT71	9606
Q3SYF9	reviewed	KR197_HUMAN	Keratin-associated protein 19-7	KRTAP19-7 KAP19.7	Homo sapiens (Human)	63	KRTAP19-7	9606
Q3TTY5	reviewed	K22E_MOUSE	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	Krt2 K2e Krt2-17 Krt2a	Mus musculus (Mouse)	707	Krt2	10090
Q3TVW5	reviewed	TCHP_MOUSE	Trichoplein keratin filament-binding protein (Protein TCHP) (Mitochondrial protein with oncostatic activity) (Mitostatin)	Tchp	Mus musculus (Mouse)	497	Tchp	10090
Q3U0V2	reviewed	TRADD_MOUSE	Tumor necrosis factor receptor type 1-associated DEATH domain protein (TNFR1-associated DEATH domain protein) (TNFRSF1A-associated via death domain)	Tradd	Mus musculus (Mouse)	310	Tradd	10090
Q4R4X4	reviewed	VIME_MACFA	Vimentin	VIM QtrA-12155	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	466	VIM	9541
Q52LG2	reviewed	KR132_HUMAN	Keratin-associated protein 13-2	KRTAP13-2 KAP13.2	Homo sapiens (Human)	175	KRTAP13-2	9606
Q59SU1	reviewed	CARP9_CANAL	Secreted aspartic protease 9 (ACP 9) (Aspartate protease 9) (EC 3.4.23.24) (Candidapepsin-9)	SAP9 YPS1 CAALFM_C303870CA CaO19.14190 CaO19.6928	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	544	SAP9	237561
Q59VH7	reviewed	CARP7_CANAL	Secreted aspartic protease 7 (ACP 7) (Aspartate protease 7) (EC 3.4.23.24) (Candidapepsin-7)	SAP7 CAALFM_C104870WA CaO19.756 CaO19.8376	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	588	SAP7	237561
Q5A651	reviewed	CAR10_CANAL	Secreted aspartic protease 10 (ACP 10) (Aspartate protease 10) (EC 3.4.23.24) (Candidapepsin-10)	SAP10 YPS3 CAALFM_C404470WA CaO19.11320 CaO19.3839	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	453	SAP10	237561
Q5A8N2	reviewed	CARP4_CANAL	Secreted aspartic protease 4 (ACP 4) (Aspartate protease 4) (EC 3.4.23.24) (Candidapepsin-4)	SAP4 CAALFM_C603500CA CaO19.13139 CaO19.5716	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	417	SAP4	237561
Q5AC08	reviewed	CARP6_CANAL	Secreted aspartic protease 6 (ACP 6) (Aspartate protease 6) (EC 3.4.23.24) (Candidapepsin-6)	SAP6 CAALFM_C602710CA CaO19.12988 CaO19.5542	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	418	SAP6	237561
Q5AEM6	reviewed	CARP8_CANAL	Secreted aspartic protease 8 (ACP 8) (Aspartate protease 8) (EC 3.4.23.24) (Candidapepsin-8)	SAP8 CAALFM_C302510CA CaO19.242 CaO19.7872	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	405	SAP8	237561
Q5BJY9	reviewed	K1C18_RAT	Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Krt18 Krt1-18	Rattus norvegicus (Rat)	423	Krt18	10116
Q5XKE5	reviewed	K2C79_HUMAN	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)	KRT79 K6L KB38 KRT6L	Homo sapiens (Human)	535	KRT79	9606
Q61781	reviewed	K1C14_MOUSE	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Krt14 Krt1-14	Mus musculus (Mouse)	484	Krt14	10090
Q63279	reviewed	K1C19_RAT	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19) (Type I keratin Ka19)	Krt19 Ka19 Krt1-19	Rattus norvegicus (Rat)	403	Krt19	10116
Q63544	reviewed	SYUG_RAT	Gamma-synuclein (Persyn) (Sensory neuron synuclein)	Sncg	Rattus norvegicus (Rat)	123	Sncg	10116
Q64291	reviewed	K1C12_MOUSE	Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)	Krt12 Krt1-12 Krt1.12	Mus musculus (Mouse)	487	Krt12	10090
Q6A162	reviewed	K1C40_HUMAN	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	KRT40 KA36	Homo sapiens (Human)	431	KRT40	9606
Q6A163	reviewed	K1C39_HUMAN	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	KRT39 KA35	Homo sapiens (Human)	491	KRT39	9606
Q6IFU8	reviewed	K1C17_RAT	Keratin, type I cytoskeletal 17 (Cytokeratin-17) (CK-17) (Keratin-17) (K17) (Type I keratin Ka17)	Krt17 Ka17	Rattus norvegicus (Rat)	433	Krt17	10116
Q6IFV1	reviewed	K1C14_RAT	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14) (Type I keratin Ka14)	Krt14 Ka14 Krt1-14	Rattus norvegicus (Rat)	485	Krt14	10116
Q6IFW6	reviewed	K1C10_RAT	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10) (Type I keratin Ka10)	Krt10 Ka10	Rattus norvegicus (Rat)	526	Krt10	10116
Q6IMF3	reviewed	K2C1_RAT	Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)	Krt1 Kb1	Rattus norvegicus (Rat)	625	Krt1	10116
Q6KB66	reviewed	K2C80_HUMAN	Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)	KRT80 KB20	Homo sapiens (Human)	452	KRT80	9606
Q6L8G4	reviewed	KR511_HUMAN	Keratin-associated protein 5-11 (Keratin-associated protein 5.11) (Ultrahigh sulfur keratin-associated protein 5.11)	KRTAP5-11 KAP5.11 KRTAP5.11	Homo sapiens (Human)	156	KRTAP5-11	9606
Q6L8G8	reviewed	KRA57_HUMAN	Keratin-associated protein 5-7 (Keratin-associated protein 5-3) (Keratin-associated protein 5.3) (Keratin-associated protein 5.7) (Ultrahigh sulfur keratin-associated protein 5.7)	KRTAP5-7 KAP5-7 KAP5.3 KRTAP5.3 KRTAP5.7	Homo sapiens (Human)	165	KRTAP5-7	9606
Q6L8G9	reviewed	KRA56_HUMAN	Keratin-associated protein 5-6 (Keratin-associated protein 5.6) (Ultrahigh sulfur keratin-associated protein 5.6)	KRTAP5-6 KAP5.6 KRTAP5.6	Homo sapiens (Human)	129	KRTAP5-6	9606
Q6L8H1	reviewed	KRA54_HUMAN	Keratin-associated protein 5-4 (Keratin-associated protein 5.4) (Ultrahigh sulfur keratin-associated protein 5.4)	KRTAP5-4 KAP5.4 KRTAP5.4	Homo sapiens (Human)	288	KRTAP5-4	9606
Q6L8H2	reviewed	KRA53_HUMAN	Keratin-associated protein 5-3 (Keratin-associated protein 5-9) (Keratin-associated protein 5.3) (Keratin-associated protein 5.9) (UHS KerB-like) (Ultrahigh sulfur keratin-associated protein 5.3)	KRTAP5-3 KAP5-9 KAP5.3 KRTAP5-9 KRTAP5.3 KRTAP5.9	Homo sapiens (Human)	238	KRTAP5-3	9606
Q6L8H4	reviewed	KRA51_HUMAN	Keratin-associated protein 5-1 (Keratin, cuticle, ultrahigh sulphur 1-like) (Keratin-associated protein 5.1) (Ultrahigh sulfur keratin-associated protein 5.1)	KRTAP5-1 KAP5.1 KRN1L KRTAP5.1	Homo sapiens (Human)	278	KRTAP5-1	9606
Q6NVD9	reviewed	BFSP2_MOUSE	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L)	Bfsp2	Mus musculus (Mouse)	416	Bfsp2	10090
Q6PEX3	reviewed	KR261_HUMAN	Keratin-associated protein 26-1	KRTAP26-1 KAP26.1	Homo sapiens (Human)	210	KRTAP26-1	9606
Q6TFL4	reviewed	KLH24_HUMAN	Kelch-like protein 24 (Kainate receptor-interacting protein for GluR6) (KRIP6) (Protein DRE1)	KLHL24 DRE1	Homo sapiens (Human)	600	KLHL24	9606
Q6ZRV2	reviewed	FA83H_HUMAN	Protein FAM83H	FAM83H	Homo sapiens (Human)	1179	FAM83H	9606
Q701N4	reviewed	KRA52_HUMAN	Keratin-associated protein 5-2 (Keratin-associated protein 5-8) (Keratin-associated protein 5.2) (Keratin-associated protein 5.8) (Ultrahigh sulfur keratin-associated protein 5.2)	KRTAP5-2 KAP5-8 KAP5.2 KRTAP5-8 KRTAP5.2 KRTAP5.8	Homo sapiens (Human)	177	KRTAP5-2	9606
Q7RTS7	reviewed	K2C74_HUMAN	Keratin, type II cytoskeletal 74 (Cytokeratin-74) (CK-74) (Keratin-5c) (K5C) (Keratin-74) (K74) (Type II inner root sheath-specific keratin-K6irs4) (Type-II keratin Kb37)	KRT74 K6IRS4 KB37 KRT5C KRT6IRS4	Homo sapiens (Human)	529	KRT74	9606
Q7Z3Y7	reviewed	K1C28_HUMAN	Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)	KRT28 KRT25D	Homo sapiens (Human)	464	KRT28	9606
Q7Z3Y8	reviewed	K1C27_HUMAN	Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)	KRT27 KRT25C	Homo sapiens (Human)	459	KRT27	9606
Q7Z3Y9	reviewed	K1C26_HUMAN	Keratin, type I cytoskeletal 26 (Cytokeratin-26) (CK-26) (Keratin-25B) (K25B) (Keratin-26) (K26) (Type I inner root sheath-specific keratin-K25irs2)	KRT26 KRT25B	Homo sapiens (Human)	468	KRT26	9606
Q7Z3Z0	reviewed	K1C25_HUMAN	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1)	KRT25 KRT25A	Homo sapiens (Human)	450	KRT25	9606
Q7Z4W3	reviewed	KR193_HUMAN	Keratin-associated protein 19-3 (GTHRP) (Glycine/tyrosine-rich protein)	KRTAP19-3 KAP19.3	Homo sapiens (Human)	81	KRTAP19-3	9606
Q7Z794	reviewed	K2C1B_HUMAN	Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)	KRT77 KRT1B	Homo sapiens (Human)	578	KRT77	9606
Q86Y46	reviewed	K2C73_HUMAN	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	KRT73 K6IRS3 KB36 KRT6IRS3	Homo sapiens (Human)	540	KRT73	9606
Q8BGZ7	reviewed	K2C75_MOUSE	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (mK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	Krt75 Kb18	Mus musculus (Mouse)	551	Krt75	10090
Q8BK63	reviewed	KC1A_MOUSE	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Csnk1a1	Mus musculus (Mouse)	337	Csnk1a1	10090
Q8BMP4	reviewed	GPER1_MOUSE	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (Membrane estrogen receptor) (mER)	Gper1 Cmkrl2 Gper Gpr30	Mus musculus (Mouse)	375	Gper1	10090
Q8IUB9	reviewed	KR191_HUMAN	Keratin-associated protein 19-1 (High tyrosine-glycine keratin-associated protein 19.1)	KRTAP19-1 KAP19.1 KRTAP19.1	Homo sapiens (Human)	90	KRTAP19-1	9606
Q8IUC1	reviewed	KR111_HUMAN	Keratin-associated protein 11-1 (High sulfur keratin-associated protein 11.1)	KRTAP11-1 KAP11.1 KRTAP11.1	Homo sapiens (Human)	163	KRTAP11-1	9606
Q8IUC2	reviewed	KRA81_HUMAN	Keratin-associated protein 8-1 (High glycine-tyrosine keratin-associated protein 8.1)	KRTAP8-1 KAP8.1 KRTAP8.1	Homo sapiens (Human)	63	KRTAP8-1	9606
Q8IUC3	reviewed	KRA71_HUMAN	Keratin-associated protein 7-1 (High tyrosine-glycine keratin-associated protein 7.1)	KRTAP7-1 KAP7.1 KRTAP7.1	Homo sapiens (Human)	87	KRTAP7-1	9606
Q8IUG1	reviewed	KRA13_HUMAN	Keratin-associated protein 1-3 (Keratin-associated protein 1.8) (Keratin-associated protein 1.9)	KRTAP1-3 B2B KAP1.2 KAP1.3 KAP1.8 KAP1.9 KRATP1.9 KRTAP1.8	Homo sapiens (Human)	167	KRTAP1-3	9606
Q8N1A0	reviewed	KT222_HUMAN	Keratin-like protein KRT222 (Keratin-222) (Keratin-222 pseudogene)	KRT222 KA21 KRT222P	Homo sapiens (Human)	295	KRT222	9606
Q8N1N4	reviewed	K2C78_HUMAN	Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)	KRT78 K5B KB40	Homo sapiens (Human)	520	KRT78	9606
Q8N6L1	reviewed	KTAP2_HUMAN	Keratinocyte-associated protein 2 (KCP-2) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2) (Oligosaccharyl transferase subunit KCP2)	KRTCAP2 KCP2	Homo sapiens (Human)	136	KRTCAP2	9606
Q8N8W4	reviewed	PLPL1_HUMAN	Omega-hydroxyceramide transacylase (EC 2.3.1.296) (Patatin-like phospholipase domain-containing protein 1)	PNPLA1	Homo sapiens (Human)	532	PNPLA1	9606
Q8NI17	reviewed	IL31R_HUMAN	Interleukin-31 receptor subunit alpha (IL-31 receptor subunit alpha) (IL-31R subunit alpha) (IL-31R-alpha) (IL-31RA) (Cytokine receptor-like 3) (GLM-R) (hGLM-R) (Gp130-like monocyte receptor) (Gp130-like receptor) (ZcytoR17)	IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384	Homo sapiens (Human)	732	IL31RA	9606
Q8R0W0	reviewed	EPIPL_MOUSE	Epiplakin	Eppk1 EPPK	Mus musculus (Mouse)	6548	Eppk1	10090
Q8TES7	reviewed	FBF1_HUMAN	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863	Homo sapiens (Human)	1133	FBF1	9606
Q8TEW0	reviewed	PARD3_HUMAN	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	Homo sapiens (Human)	1356	PARD3	9606
Q8VCW2	reviewed	K1C25_MOUSE	Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Type I inner root sheath-specific keratin-K25irs1) (mIRSa1)	Krt25	Mus musculus (Mouse)	446	Krt25	10090
Q91ZU6	reviewed	DYST_MOUSE	Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)	Dst Bpag1 Macf2	Mus musculus (Mouse)	7393	Dst	10090
Q922U2	reviewed	K2C5_MOUSE	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Krt5 Krt2-5	Mus musculus (Mouse)	580	Krt5	10090
Q923E4	reviewed	SIR1_MOUSE	NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (SIR2alpha) (Sir2) (mSIR2a) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	Sirt1 Sir2l1	Mus musculus (Mouse)	737	Sirt1	10090
Q925H4	reviewed	KR211_MOUSE	Keratin-associated protein 21-1 (Keratin-associated protein 16-7) (Keratin-associated protein 16.7)	Krtap21-1 Krtap16-7 Krtap16.7	Mus musculus (Mouse)	128	Krtap21-1	10090
Q92764	reviewed	KRT35_HUMAN	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	KRT35 HHA5 HKA5 KRTHA5	Homo sapiens (Human)	455	KRT35	9606
Q93LQ6	reviewed	FLS_FERPE	Fervidolysin (EC 3.4.21.-) (Keratinase) (Subtilisin-like serine protease)	fls	Fervidobacterium pennivorans	699	fls	93466
Q96EB6	reviewed	SIR1_HUMAN	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	Homo sapiens (Human)	747	SIRT1	9606
Q96M91	reviewed	CFA53_HUMAN	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	CFAP53 CCDC11	Homo sapiens (Human)	514	CFAP53	9606
Q99405	reviewed	PRTM_SHOC1	M-protease (EC 3.4.21.-)	aprE ABC0761	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	380	aprE	66692
Q99456	reviewed	K1C12_HUMAN	Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)	KRT12	Homo sapiens (Human)	494	KRT12	9606
Q99527	reviewed	GPER1_HUMAN	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G-protein coupled receptor 1) (FEG-1) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G-protein coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER)	GPER1 CEPR CMKRL2 DRY12 GPER GPR30	Homo sapiens (Human)	375	GPER1	9606
Q99650	reviewed	OSMR_HUMAN	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	OSMR OSMRB	Homo sapiens (Human)	979	OSMR	9606
Q9BQ66	reviewed	KR412_HUMAN	Keratin-associated protein 4-12 (Keratin-associated protein 4.12) (Ultrahigh sulfur keratin-associated protein 4.12)	KRTAP4-12 KAP4.12 KRTAP4.12	Homo sapiens (Human)	201	KRTAP4-12	9606
Q9BT92	reviewed	TCHP_HUMAN	Trichoplein keratin filament-binding protein (Protein TCHP) (Mitochondrial protein with oncostatic activity) (Mitostatin) (Tumor suppressor protein)	TCHP	Homo sapiens (Human)	498	TCHP	9606
Q9BYP8	reviewed	KR171_HUMAN	Keratin-associated protein 17-1 (Keratin-associated protein 16.1)	KRTAP17-1 KAP17.1 KRTAP16.1	Homo sapiens (Human)	105	KRTAP17-1	9606
Q9BYP9	reviewed	KRA99_HUMAN	Keratin-associated protein 9-9 (Keratin-associated protein 9-5) (Keratin-associated protein 9.5) (Keratin-associated protein 9.9) (Ultrahigh sulfur keratin-associated protein 9.9)	KRTAP9-9 KAP9.5 KAP9.9 KRTAP9-5 KRTAP9.5 KRTAP9.9	Homo sapiens (Human)	154	KRTAP9-9	9606
Q9BYQ0	reviewed	KRA98_HUMAN	Keratin-associated protein 9-8 (Keratin-associated protein 9.8) (Ultrahigh sulfur keratin-associated protein 9.8)	KRTAP9-8 KAP9.8 KRTAP9.8	Homo sapiens (Human)	159	KRTAP9-8	9606
Q9BYQ2	reviewed	KRA94_HUMAN	Keratin-associated protein 9-4 (Keratin-associated protein 9.4) (Ultrahigh sulfur keratin-associated protein 9.4)	KRTAP9-4 KAP9.4 KRTAP9.4	Homo sapiens (Human)	154	KRTAP9-4	9606
Q9BYQ3	reviewed	KRA93_HUMAN	Keratin-associated protein 9-3 (Keratin-associated protein 9.3) (Ultrahigh sulfur keratin-associated protein 9.3)	KRTAP9-3 KAP9.3 KRTAP9.3	Homo sapiens (Human)	159	KRTAP9-3	9606
Q9BYQ4	reviewed	KRA92_HUMAN	Keratin-associated protein 9-2 (Keratin-associated protein 9.2) (Ultrahigh sulfur keratin-associated protein 9.2)	KRTAP9-2 KAP9.2 KRTAP9.2	Homo sapiens (Human)	174	KRTAP9-2	9606
Q9BYQ5	reviewed	KRA46_HUMAN	Keratin-associated protein 4-6 (Keratin-associated protein 4-15) (Keratin-associated protein 4.15) (Keratin-associated protein 4.6) (Ultrahigh sulfur keratin-associated protein 4.15)	KRTAP4-6 KAP4.15 KRTAP4-15 KRTAP4.15 KRTAP4.6	Homo sapiens (Human)	205	KRTAP4-6	9606
Q9BYQ6	reviewed	KR411_HUMAN	Keratin-associated protein 4-11 (Keratin-associated protein 4-14) (Keratin-associated protein 4.11) (Keratin-associated protein 4.14) (Ultrahigh sulfur keratin-associated protein 4.14)	KRTAP4-11 KAP4.14 KRTAP4-14 KRTAP4.11 KRTAP4.14	Homo sapiens (Human)	195	KRTAP4-11	9606
Q9BYQ7	reviewed	KRA41_HUMAN	Keratin-associated protein 4-1 (Keratin-associated protein 4-10) (Keratin-associated protein 4.1) (Keratin-associated protein 4.10) (Ultrahigh sulfur keratin-associated protein 4.10)	KRTAP4-1 KAP4.10 KRTAP4-10 KRTAP4.1 KRTAP4.10	Homo sapiens (Human)	146	KRTAP4-1	9606
Q9BYR0	reviewed	KRA47_HUMAN	Keratin-associated protein 4-7 (Keratin-associated protein 4.7) (Ultrahigh sulfur keratin-associated protein 4.7)	KRTAP4-7 KAP4.7 KRTAP4.7	Homo sapiens (Human)	155	KRTAP4-7	9606
Q9BYR2	reviewed	KRA45_HUMAN	Keratin-associated protein 4-5 (Keratin-associated protein 4.5) (Ultrahigh sulfur keratin-associated protein 4.5)	KRTAP4-5 KAP4.5 KRTAP4.5	Homo sapiens (Human)	181	KRTAP4-5	9606
Q9BYR3	reviewed	KRA44_HUMAN	Keratin-associated protein 4-4 (Keratin-associated protein 4-13) (Keratin-associated protein 4.13) (Keratin-associated protein 4.4) (Ultrahigh sulfur keratin-associated protein 4.13) (Ultrahigh sulfur keratin-associated protein 4.4)	KRTAP4-4 KAP4.13 KAP4.4 KRTAP4-13 KRTAP4.13 KRTAP4.4	Homo sapiens (Human)	166	KRTAP4-4	9606
Q9BYR4	reviewed	KRA43_HUMAN	Keratin-associated protein 4-3 (Keratin-associated protein 4.3) (Ultrahigh sulfur keratin-associated protein 4.3)	KRTAP4-3 KAP4.3 KRTAP4.3	Homo sapiens (Human)	195	KRTAP4-3	9606
Q9BYR5	reviewed	KRA42_HUMAN	Keratin-associated protein 4-2 (Keratin-associated protein 4.2) (Ultrahigh sulfur keratin-associated protein 4.2)	KRTAP4-2 KAP4.2 KRTAP4.2	Homo sapiens (Human)	136	KRTAP4-2	9606
Q9BYR6	reviewed	KRA33_HUMAN	Keratin-associated protein 3-3 (High sulfur keratin-associated protein 3.3) (Keratin-associated protein 3.3)	KRTAP3-3 KAP3.3 KRTAP3.3	Homo sapiens (Human)	98	KRTAP3-3	9606
Q9BYR7	reviewed	KRA32_HUMAN	Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2)	KRTAP3-2 KAP3.2 KRTAP3.2	Homo sapiens (Human)	98	KRTAP3-2	9606
Q9BYR8	reviewed	KRA31_HUMAN	Keratin-associated protein 3-1 (High sulfur keratin-associated protein 3.1) (Keratin-associated protein 3.1)	KRTAP3-1 KAP3.1 KRTAP3.1	Homo sapiens (Human)	98	KRTAP3-1	9606
Q9BYR9	reviewed	KRA24_HUMAN	Keratin-associated protein 2-4 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.4)	KRTAP2-4 KAP2.4 KRTAP2.4	Homo sapiens (Human)	128	KRTAP2-4	9606
