PROTID	GENEID	PROTLEN	AP_GFP_C_1_S2-A2_1_6530_SPC	AP_GFP_C_2_S2-A3_1_6531_SPC	AP_GFP_C_3_S2-A4_1_6532_SPC	AP_GFP_MED_NLS_1_S2-B2_1_6542_SPC	AP_GFP_MED_NLS_2_S2-B3_1_6543_SPC	AP_GFP_MED_NLS_3_S2-B4_1_6544_SPC	AP_GFP_MYC_NLS_1_S2-B6_1_6546_SPC	AP_GFP_MYC_NLS_2_S2-B7_1_6547_SPC	AP_GFP_MYC_NLS_3_S2-B8_1_6548_SPC	AP_GFP_NLS1_1_S2-A10_1_6538_SPC	AP_GFP_NLS1_2_S2-A11_1_6539_SPC	AP_GFP_NLS1_3_S2-A12_1_6540_SPC	AP_GFP_N_1_S2-A6_1_6534_SPC	AP_GFP_N_2_S2-A7_1_6535_SPC	AP_GFP_N_3_S2-A8_1_6536_SPC	AP_gfp-nls_1_S2-A7_1_4617_SPC	AP_gfp-nls_1_S2-A8_1_4618_SPC	GFP1a_Rita_AP_S1-A1_1_1425_SPC	GFP1b_Rita_AP_S1-A2_1_1426_SPC	GFP_AP1_S3-B5_1_1170_SPC	GFP_AP2_S3-B6_1_1171_SPC	GFP_AP3_S3-B7_1_1172_SPC	GFP_AP_1_S1-A8_1_4038_SPC	GFP_AP_2_S1-A9_1_4039_SPC	GFP_C_1_AP_S1-A5_1_6779_SPC	GFP_C_2_AP_S1-A6_1_6780_SPC	GFP_C_AP_1_S2-B2_1_4529_SPC	GFP_C_AP_2_S2-B3_1_4530_SPC	GFP_C_AP_3_S2-B4_1_4531_SPC	GFP_N_1_AP_S1-A8_1_6782_SPC	GFP_N_2_AP_S1-A9_1_6783_SPC	MAC2_C_GFP1_S3-A1_1_3574_SPC	MAC2_C_GFP2_S3-A2_1_3575_SPC	MAC2_C_GFP3_S3-A3_1_3576_SPC	MAC2_C_GFP4_S3-A4_1_3577_SPC	MAC2_C_GFP5_S3-A5_1_3578_SPC	MAC2_C_GFP6_S3-A6_1_3579_SPC	MAC2_C_GFP7_S3-A7_1_3580_SPC	MAC2_C_GFP8_S3-A8_1_3581_SPC	MAC2_N_GFP1_S3-B1_1_3583_SPC	MAC2_N_GFP2_S3-B2_1_3584_SPC	MAC2_N_GFP3_S3-B3_1_3585_SPC	MAC2_N_GFP4_S3-B4_1_3586_SPC	MAC2_N_GFP5_S3-B5_1_3587_SPC	MAC2_N_GFP6_S3-B6_1_3588_SPC	MAC2_N_GFP7_S3-B7_1_3589_SPC	MAC2_N_GFP8_S3-B8_1_3590_SPC	MAC_C_GFP1_S3-A1_1_3646_SPC	MAC_C_GFP2_S3-A2_1_3647_SPC	MAC_C_GFP3_S3-A3_1_3648_SPC	MAC_C_GFP4_S3-A4_1_3649_SPC	MAC_C_GFP5_S3-A5_1_3650_SPC	MAC_C_GFP6_S3-A6_1_3651_SPC	MAC_C_GFP7_S3-A7_1_3652_SPC	MAC_C_GFP8_S3-A8_1_3653_SPC	MAC_N_GFP1_S3-C1_1_3664_SPC	MAC_N_GFP2_S3-C2_1_3665_SPC	MAC_N_GFP3_S3-C3_1_3666_SPC	MAC_N_GFP4_S3-C4_1_3667_SPC	MAC_N_GFP5_S3-C5_1_3668_SPC	MAC_N_GFP6_S3-C6_1_3669_SPC	MAC_N_GFP7_S3-C7_1_3670_SPC	MAC_N_GFP8_S3-C8_1_3671_SPC	MED_1_AP_S1-A11_1_6785_SPC	MED_2_AP_S1-A12_1_6786_SPC	MYC_1_AP_S1-B2_1_6788_SPC	MYC_2_AP_S1-B3_1_6789_SPC	NLS1_1_AP_S1-A2_1_6776_SPC	NLS1_2_AP_S1-A3_1_6777_SPC	SUC_N_GFP1_S3-D1_1_3601_SPC	SUC_N_GFP2_S3-D2_1_3602_SPC	SUC_N_GFP3_S3-D3_1_3603_SPC	SUC_N_GFP4_S3-D4_1_3604_SPC	SUC_N_GFP5_S3-D5_1_3605_SPC	SUC_N_GFP6_S3-D6_1_3606_SPC	SUC_N_GFP7_S3-D7_1_3607_SPC	SUC_N_GFP8_S3-D8_1_3608_SPC
O43504	LAMTOR5	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	4	3	4	3	3	1	2	3	2	0	0	2	1	0	0	2	4	4	3	3	3	2	3	3	1	2	3	2	2	1	2	1	0	0	0	0	0	0	3	3	3	3	2	3	4	4
O43505	B4GAT1	415	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	4	2	5	0	0	0	0	0	0	0	0	0	3	1	3	2	2	1	2	0	0	0	0	0	1	0	0	2	2	5	2	2	3	2	5	2	1	2	1	1	1	2	1	3	0	0	0	0	0	0	1	4	3	1	3	3	1	1
O43521	BCL2L11	198	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43524	FOXO3	673	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	4	2	6	7	4	1	2	2	2	0	3	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	2	1	0	0
O43541	SMAD6	496	0	1	1	1	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
O43542	XRCC3	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43570	CA12	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	0	0	0	0	0	0	0	0
O43583	DENR	198	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	2	1	0	0	0	0	0	0	0	0	0	2	3	2	1	1	2	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	3	2	3	2	3	1	5
O43592	XPOT	962	1	1	0	0	0	0	0	1	0	0	2	1	2	0	0	2	0	0	0	4	0	4	3	3	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	14	6	9	17	13	14	7	11	5	2	4	1	2	3	3	0	1	0	0	0	0	1	3	0	1	1	1	1	1	0
O43598	DNPH1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	6	3	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
O43609	SPRY1	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43615	TIMM44	452	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	7	5	0	0	9	6	9	0	0	0	0	0	0	0	0	0	8	10	9	6	9	8	9	7	2	1	1	2	2	1	2	0	11	10	11	13	7	12	14	8	5	4	4	4	5	6	6	3	0	0	0	0	1	3	7	8	6	4	4	11	5	5
O43617	TRAPPC3	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43633	CHMP2A	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O43639	NCK2	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43660	PLRG1	514	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
O43663	PRC1	620	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	2	3	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	3	1	0	1
O43665	RGS10	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	1	3	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
O43670	ZNF207	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	1	1	4	4	3	3	2	1	3	3	0	2	2	1	2	1	1	1	1	3	2	1	2	1	1	1	0	0	0	0	0	0	2	2	1	2	1	1	1	1
O43674	NDUFB5	189	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	3	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	0
O43676	NDUFB3	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	2	2	2	6	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2
O43678	NDUFA2	99	1	1	2	3	2	2	2	2	3	1	1	3	1	2	5	1	3	0	0	2	2	3	0	0	0	0	0	0	0	0	0	3	2	2	3	2	3	2	3	2	1	3	1	1	2	1	2	1	3	4	3	4	3	2	1	3	3	2	2	2	2	3	3	0	0	0	0	0	0	3	4	3	3	3	3	2	2
O43681	GET3	348	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	10	5	0	0	12	10	8	0	0	0	0	0	0	0	0	1	7	7	5	6	4	4	5	3	1	3	2	3	1	3	3	4	14	17	11	12	14	10	16	11	7	6	5	4	4	6	7	8	0	0	0	0	0	0	5	6	9	5	9	5	4	9
O43684	BUB3	328	12	8	8	8	8	6	9	11	11	12	11	11	12	12	12	5	2	0	0	14	9	10	7	5	4	2	2	0	0	0	1	11	13	10	9	9	13	13	14	14	19	10	11	13	14	13	14	13	13	14	12	15	10	14	10	15	12	12	12	11	10	12	11	2	6	5	1	1	6	10	10	10	11	10	14	10	11
O43707	ACTN4	911	8	8	13	3	6	4	6	19	14	10	5	4	14	9	13	0	0	36	32	63	51	71	37	41	47	42	10	4	0	48	31	12	10	8	11	12	9	11	13	12	16	15	14	16	13	16	17	10	5	6	7	8	7	6	4	29	27	37	29	33	38	30	26	47	54	36	44	53	54	10	13	14	11	11	17	13	9
O43708	GSTZ1	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43709	BUD23	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O43715	TRIAP1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43716	GATC	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	2	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
O43719	HTATSF1	755	4	2	3	2	1	0	2	1	3	1	3	3	3	2	0	0	0	0	0	5	8	5	0	0	0	0	0	0	0	0	0	11	8	16	12	8	16	12	9	14	13	11	14	13	13	12	17	4	4	6	7	6	8	6	4	4	7	11	18	12	10	9	6	1	0	1	0	0	0	7	10	9	10	9	11	7	6
O43739	CYTH3	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43747	AP1G1	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	1	1	2	0	1	1	1	1	5	1	3	2	5	1	4	0	2	1	0	0	1	1	0	0	0	0	0	0	0	2	3	2	2	1	2	2	2
O43752	STX6	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O43760	SYNGR2	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O43765	SGTA	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	14	4	8	0	0	0	0	0	0	0	0	0	5	4	7	4	5	6	4	6	1	1	1	3	1	2	0	2	13	19	10	17	13	19	14	14	4	10	6	7	3	5	4	5	0	0	0	0	0	0	6	6	6	5	5	5	9	5
O43768	ENSA	121	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43772	SLC25A20	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43776	NARS1	548	14	19	14	11	8	19	15	17	16	8	11	11	29	26	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	7	7	10	9	7	8	7	2	1	0	1	1	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	1	4	1	1
O43790	KRT86	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
O43795	MYO1B	1136	3	2	2	1	0	1	4	2	2	1	1	2	0	0	1	27	14	33	26	101	112	101	21	19	41	48	0	0	0	30	29	13	10	11	15	12	11	13	12	4	2	2	3	2	2	2	3	12	13	15	20	17	19	13	15	3	5	5	7	6	5	6	4	30	35	23	47	42	41	17	19	16	19	13	24	18	19
O43805	SSNA1	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
O43808	SLC25A17	307	1	2	1	3	1	3	2	0	2	0	0	0	2	5	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43809	NUDT21	227	5	3	5	7	3	3	12	6	5	3	3	0	4	3	3	0	0	0	1	1	3	1	2	3	2	0	0	1	0	0	0	6	6	6	10	8	9	10	9	7	10	8	8	9	9	10	9	4	4	5	4	6	3	1	4	10	14	17	15	17	19	15	8	0	4	8	1	1	1	8	5	5	9	10	7	5	7
O43813	LANCL1	399	8	15	19	18	7	16	14	17	12	15	15	22	24	18	26	8	4	9	11	26	26	19	3	2	13	13	8	4	12	16	8	55	58	62	66	69	68	70	65	55	55	53	51	53	54	56	56	52	54	52	54	59	60	57	47	48	48	58	52	58	55	60	55	15	13	11	8	12	10	79	81	82	73	71	69	72	75
O43815	STRN	780	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	9	8	0	0	12	13	17	0	0	0	0	0	0	0	0	0	12	16	12	16	16	16	11	15	9	17	8	10	11	12	13	11	23	15	20	17	19	15	21	18	1	2	2	4	5	3	5	3	0	0	0	0	0	0	15	14	13	17	20	13	18	14
O43818	RRP9	475	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0
O43819	SCO2	266	7	10	7	1	0	0	5	6	0	3	4	3	5	3	1	0	0	0	0	5	6	6	1	3	0	0	0	0	0	0	0	3	8	7	7	4	6	6	5	1	2	1	2	1	2	1	3	7	5	5	4	5	3	2	4	4	4	2	5	2	5	6	4	0	0	0	0	0	0	3	4	5	4	4	5	6	2
O43823	AKAP8	692	4	3	2	2	0	1	0	0	1	0	0	0	5	6	4	2	0	0	0	10	9	12	0	0	0	0	0	0	0	0	0	2	3	1	2	4	4	2	0	8	8	6	8	7	7	6	4	4	4	5	7	3	7	7	5	1	2	1	2	2	1	3	1	0	0	0	0	0	0	3	1	1	4	3	2	3	4
O43824	GTPBP6	516	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0
O43837	IDH3B	385	2	1	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	4	6	2	1	1	1	1	0	0	1	0	0	2	2	1	1	0	0	0	0	0	0	7	4	5	7	4	4	5	5
O43847	NRDC	1151	6	5	7	11	11	11	5	5	12	2	1	3	7	8	14	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	1	3	2	2	1	1	1
O43852	CALU	315	14	9	10	6	4	6	7	6	9	11	9	8	6	7	5	4	3	6	7	35	33	35	4	5	7	7	17	5	1	4	2	20	24	21	23	24	26	27	21	21	23	24	26	31	26	24	17	23	27	19	22	26	22	26	25	31	36	42	37	44	41	43	40	2	3	9	0	3	6	32	27	30	35	26	31	25	25
O43854	EDIL3	480	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43865	AHCYL1	530	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43903	GAS2	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43913	ORC5	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	4	3	4	5	2	0	1	0	0	0	0	0	0	0	1	1	2	3	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	1	3	0
O43920	NDUFS5	106	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	5	4	6	0	0	0	0	0	0	0	0	0	1	2	1	3	3	3	3	1	1	2	1	1	1	1	1	2	1	1	2	2	2	3	2	2	2	5	3	3	2	3	6	1	0	0	0	0	0	0	1	1	4	0	3	3	1	1
O43929	ORC4	436	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	4	3	1	0	0	1	0	0	0	0	0	3	5	3	2	3	3	3	3	0	0	0	0	0	0	1	0	4	3	2	3	3	5	3	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	3	2	3	2	2	4	3	2
O43933	PEX1	1283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60216	RAD21	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60220	TIMM8A	97	3	1	1	2	1	2	2	1	1	1	2	2	3	3	1	2	3	0	0	7	9	8	0	0	2	0	0	0	0	0	0	5	4	5	4	5	3	6	6	4	2	2	5	2	3	5	3	2	2	0	1	1	4	1	2	8	3	13	7	7	7	9	11	0	1	2	0	1	2	3	3	5	4	2	5	4	2
O60231	DHX16	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	7	3	4	5	6	5	6	5	6	3	5	2	3	10	5	4	3	6	7	5	3	2	7	2	9	12	10	9	9	9	8	7	0	0	0	0	0	0	11	4	6	3	7	4	7	4
O60232	ZNRD2	199	0	0	1	0	0	0	0	0	0	2	3	3	4	7	2	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	3	2	2	1	1	1	2	3	1	1	2	3	0	0	0	0	0	0	2	1	1	2	1	1	2	1
O60234	GMFG	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60237	PPP1R12B	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60244	MED14	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	13	17	14	18	17	19	14	15	15	15	16	12	15	14	14	5	2	2	4	3	2	3	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	8	8	7	6	10	7	10	13
O60245	PCDH7	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	1	0	1	2	0
O60256	PRPSAP2	369	3	0	1	2	2	1	3	4	2	4	6	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	1	2	1	1	2	1	2	1
O60262	GNG7	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60264	SMARCA5	1052	4	2	1	0	0	0	1	5	0	0	0	0	3	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	5	5	7	4	3	4	3	5	11	6	9	5	5	6	8	2	1	3	3	2	1	1	0	6	5	2	0	0	1	1	0	0	1	0	0	0	0	6	3	3	1	4	4	1	4
O60271	SPAG9	1321	4	4	6	2	0	0	0	0	1	13	10	9	0	3	1	0	0	0	3	19	25	20	2	0	1	0	0	0	0	0	0	27	25	27	22	24	33	26	25	8	9	9	10	7	10	5	11	25	21	20	26	18	27	19	20	10	15	13	20	20	15	15	14	0	0	0	0	0	4	20	20	22	17	18	18	25	13
