PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
P46778	RPL21	160	13	15	15	9	12	1	8	14	1	9	1	3	5	2	4	3	2	18	1	15	1	14	1	7	8	5	6	9	8	2	3	12	16	18	20	17	18	4	3	25	27	1	4	8	12	14	9	8	11	3	2	7	10	11	9	7	10	11	9	9	7	6	10	13	11	9	13	10	11	8	1	5	6	7	7	8	7	6	7	2	10	13	10	12	10	13	11	9	3
P46779	RPL28	137	1	2	1	2	6	1	3	4	1	4	1	1	1	2	2	2	1	4	1	4	2	4	1	3	2	1	5	5	3	0	0	5	2	1	1	1	1	2	1	18	24	0	2	2	6	3	2	2	1	3	3	2	2	2	2	2	2	4	3	4	2	1	5	4	2	1	1	1	2	3	3	2	2	3	6	2	4	2	2	2	1	2	1	1	2	3	1	1	2
P46781	RPS9	194	6	6	5	13	16	6	9	17	8	17	4	11	14	10	10	8	9	25	10	17	8	21	6	15	14	14	16	15	13	9	9	17	17	15	14	12	17	3	1	44	32	10	12	7	12	10	9	16	12	10	10	7	3	2	2	1	2	1	4	2	3	5	3	6	7	3	7	6	4	7	4	4	4	13	15	13	18	13	18	4	7	9	7	9	3	5	8	5	6
P46782	RPS5	204	7	7	7	4	6	9	7	6	9	9	13	17	18	15	16	19	13	5	11	7	12	8	11	16	22	24	3	2	1	18	23	5	7	13	10	12	8	2	1	8	9	16	3	8	3	5	4	5	9	3	3	12	7	7	8	7	8	10	9	9	8	5	7	9	9	14	11	8	8	9	7	9	10	5	6	7	7	9	3	9	16	14	13	17	16	13	15	14	6
P46783	RPS10	165	6	10	8	4	8	18	4	7	22	9	15	37	37	31	23	27	23	2	20	3	19	3	22	34	33	43	3	4	2	14	10	10	12	13	14	10	8	5	7	6	1	9	4	5	5	5	4	5	7	2	3	8	4	5	6	10	8	6	12	7	14	2	3	2	2	3	3	2	4	4	3	5	5	5	5	4	3	4	4	5	10	7	11	8	8	8	10	11	5
P46821	MAP1B	2468	103	97	105	104	89	82	121	89	88	79	85	41	40	30	53	49	40	5	100	8	97	3	92	139	131	125	3	4	5	21	19	115	121	85	83	81	91	120	115	101	118	22	117	100	31	40	23	147	132	73	67	151	114	123	115	113	102	114	115	103	139	71	139	144	154	149	144	139	130	153	53	123	115	48	34	55	57	126	132	30	137	151	155	141	140	135	142	139	41
P46926	GNPDA1	289	1	2	0	0	2	2	2	3	1	2	1	0	0	1	0	0	0	0	2	0	3	0	7	0	0	0	0	0	0	9	9	2	3	3	4	7	3	2	1	0	1	2	7	1	3	0	0	0	0	1	0	33	16	18	17	17	20	17	15	15	28	5	13	18	15	13	13	15	14	17	3	0	0	1	0	0	0	2	2	0	4	2	3	3	5	2	4	6	0
P46934	NEDD4	1319	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	1	0	1	1	1	1	0	0	2	0	1	0	0	2	4	0	2	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0
P46937	YAP1	504	12	9	11	4	6	12	7	4	8	11	7	6	7	8	10	7	5	1	8	1	7	0	12	5	5	2	0	0	0	1	1	8	9	4	6	5	3	6	4	4	6	0	9	11	16	11	12	4	7	4	2	1	1	1	2	4	2	2	1	1	1	1	2	1	2	1	3	2	2	2	0	4	3	6	6	6	8	6	5	2	13	8	12	15	14	20	13	17	5
P46939	UTRN	3433	11	18	11	101	75	76	103	61	65	75	86	12	11	9	22	24	15	8	80	6	74	2	90	105	110	116	2	3	2	23	25	141	134	103	105	113	104	74	61	107	88	25	110	99	64	85	57	135	129	59	58	3	4	5	4	3	2	1	6	2	4	1	5	0	3	5	2	5	1	1	0	81	79	20	17	44	48	121	128	0	11	9	6	10	8	11	10	2	0
P46940	IQGAP1	1657	17	20	19	0	0	25	0	2	27	1	18	33	31	37	19	31	22	1	25	2	22	2	17	56	52	53	1	5	1	30	18	36	45	37	31	29	31	0	0	4	9	24	2	0	11	19	6	2	7	2	2	2	4	3	1	2	1	2	3	2	3	0	1	2	2	0	1	1	1	0	0	2	3	0	1	1	2	0	0	1	3	3	4	2	4	2	1	3	0
P46976	GYG1	350	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P46977	STT3A	705	2	1	1	0	3	1	0	1	1	3	0	1	1	0	1	1	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0	1	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	0	1	0	0	2	1	1	1	3	2	1	1	3	3	1	1	0	2	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
P47712	PLA2G4A	749	0	0	0	7	0	4	3	0	1	0	2	0	0	1	1	1	2	0	3	0	5	0	4	0	0	1	0	0	0	6	5	4	6	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P47736	RAP1GAP	663	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	3	2	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
P47755	CAPZA2	286	34	40	36	26	13	33	27	11	23	14	34	18	14	16	18	23	19	6	31	3	26	4	28	34	42	34	0	2	0	28	36	37	35	29	32	26	23	18	19	13	18	27	29	22	17	24	12	32	28	11	10	30	20	21	34	31	31	26	31	27	36	19	28	24	26	27	26	25	26	28	11	22	21	12	18	17	13	36	32	10	27	26	28	29	27	27	26	25	11
P47756	CAPZB	272	46	46	49	46	26	44	43	29	44	28	41	24	13	18	26	30	28	13	43	14	34	7	40	52	50	47	8	5	8	24	19	47	47	57	50	57	56	46	41	23	24	22	41	38	36	33	33	39	44	26	22	44	35	33	33	43	41	44	45	40	44	20	45	38	46	43	46	44	40	42	13	45	44	17	15	25	27	34	42	20	41	44	50	52	47	55	45	44	21
P47813	EIF1AX	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	2	3	2	3	4	3	3	0	1	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
P47897	QARS1	775	22	22	25	12	22	14	9	26	11	21	13	9	8	8	6	6	7	4	4	7	13	5	8	21	17	20	3	3	2	11	12	33	24	28	22	19	22	31	31	27	33	3	8	7	1	3	1	12	7	5	7	29	29	24	19	20	21	24	25	20	27	11	17	22	17	14	19	18	19	17	5	28	28	2	2	2	3	9	11	0	16	16	17	19	20	23	22	17	5
P47914	RPL29	159	5	4	3	4	4	4	4	4	2	4	2	2	4	3	3	2	2	4	1	5	2	7	4	3	6	3	10	9	9	0	0	4	6	0	0	0	0	5	4	8	7	0	3	5	7	8	13	4	6	4	5	4	4	4	6	5	5	6	4	4	5	4	4	4	4	6	4	5	4	5	5	5	6	7	8	5	7	5	8	4	4	6	5	5	4	4	5	6	2
P47928	ID4	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P47929	LGALS7B	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P47974	ZFP36L2	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
P47985	UQCRFS1	274	4	4	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	3	2	5	3	4	6	2	3	2	6	5	0	0	0	0	0	0	1	4	5	4	5	5	5	4	3	0
P47989	XDH	1333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
P48047	ATP5PO	213	7	10	8	0	2	6	0	1	6	2	5	8	12	8	8	7	5	0	8	1	7	0	5	10	12	12	2	0	1	9	8	15	12	6	7	6	5	1	0	0	0	5	1	0	5	6	4	4	2	1	2	5	6	5	3	5	5	4	8	4	3	0	2	2	1	0	2	3	0	0	0	10	7	0	0	0	0	0	2	2	13	10	13	14	13	13	9	14	1
P48059	LIMS1	325	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0
P48147	PREP	710	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	4	0	1	0	0	1	1	0	0	0	0	1	1	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	2	1	0	1	0	0	0	1	0	1	0	0
P48163	ME1	572	0	0	0	5	0	7	6	0	6	1	3	0	0	1	4	2	1	0	6	0	6	0	3	2	5	2	0	0	0	9	14	6	6	5	5	5	5	3	3	6	3	3	6	7	0	1	0	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	5	0	0	1	0	3	2	0	0	0	1	0	0	0	0	0	0
P48200	IREB2	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
P48382	RFX5	616	0	0	0	5	6	8	7	3	5	7	4	10	11	12	12	11	8	5	4	1	3	4	4	5	7	4	2	2	1	0	1	0	0	0	0	0	0	5	5	35	32	0	11	6	0	0	0	6	6	4	5	2	5	2	1	1	1	1	1	1	1	0	4	2	2	2	2	2	0	2	1	1	0	26	33	18	25	11	6	0	0	0	0	0	0	0	1	0	0
P48426	PIP4K2A	406	0	0	1	6	3	7	10	3	8	2	8	8	9	9	10	9	10	0	5	0	11	0	6	8	9	11	0	1	0	2	2	4	7	3	5	2	5	6	5	6	5	5	8	10	3	5	6	9	14	2	4	5	3	2	3	7	4	7	5	4	6	1	1	3	3	4	4	2	3	2	0	7	7	5	4	9	5	8	12	0	2	6	10	7	6	4	4	6	0
P48436	SOX9	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48444	ARCN1	511	9	13	14	36	26	19	33	21	15	23	18	9	8	5	8	8	8	16	16	10	20	5	27	40	37	24	10	10	5	14	11	14	17	14	11	12	11	7	5	32	43	13	13	11	0	1	0	18	13	15	18	11	6	7	9	7	7	9	7	13	17	3	10	11	13	5	11	10	10	7	5	9	7	7	6	5	6	10	15	2	13	14	9	15	14	12	12	13	0
P48449	LSS	732	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	4	4	3	3	3	3	3	2	0
P48506	GCLC	637	1	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	3	1	1	0	0	1	2	0	0	1	0	0	0	1	0	1	2	3	3	4	5	3	3	2	3	3	3	3	0	0	0	0	0	0	5	6	4	4	3	3	4	3	4	8
P48507	GCLM	274	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48553	TRAPPC10	1259	0	0	0	16	0	7	18	2	4	0	6	0	0	0	0	1	1	0	8	0	8	0	11	10	11	6	0	0	0	4	5	7	5	5	6	10	6	16	11	6	4	3	16	15	0	0	0	19	16	4	6	24	25	19	16	18	20	19	18	19	24	1	23	17	24	23	19	23	20	19	4	7	5	0	0	1	1	9	13	0	0	0	0	0	1	1	0	0	0
P48556	PSMD8	350	2	1	0	3	4	3	2	5	3	4	3	2	3	3	1	5	2	3	1	3	2	3	1	3	6	3	1	2	2	7	6	4	2	3	2	2	1	2	3	16	12	7	1	1	0	0	0	1	1	1	3	6	4	4	2	4	2	4	2	5	3	1	0	1	1	1	0	0	0	0	0	1	2	1	3	2	3	2	1	0	2	2	1	1	2	1	3	2	0
P48634	PRRC2A	2157	7	3	3	40	23	41	42	22	37	23	28	20	27	29	20	20	19	2	43	1	30	5	42	35	38	42	0	1	0	8	8	22	24	13	15	18	17	43	47	41	43	5	32	29	15	18	19	21	32	18	24	15	10	15	11	15	11	11	13	7	18	14	41	35	30	32	33	27	37	36	9	12	14	15	12	12	11	34	34	2	7	12	7	7	13	6	10	6	2
P48643	CCT5	541	60	54	59	368	359	449	351	306	473	377	427	279	272	289	303	294	309	149	418	146	408	117	442	270	239	193	108	133	110	219	191	237	254	320	342	324	315	365	369	648	621	285	303	243	130	89	85	157	158	276	254	110	95	96	90	81	86	94	96	97	125	92	97	93	111	96	104	93	98	109	63	130	125	256	242	255	255	276	255	44	71	77	84	86	81	75	83	76	59
P48651	PTDSS1	473	1	1	2	0	3	0	0	1	0	1	0	0	0	0	1	1	0	4	0	1	0	1	0	1	1	2	0	0	0	1	1	2	1	1	1	1	1	0	1	4	3	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	1	4	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
P48681	NES	1621	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48723	HSPA13	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
P48729	CSNK1A1	337	1	2	2	2	2	10	1	1	11	1	12	14	8	11	11	11	10	0	10	0	15	0	9	11	10	9	0	0	0	2	4	2	6	5	2	3	3	2	3	3	1	2	1	1	0	2	1	2	1	2	1	12	8	14	15	13	11	9	7	9	12	15	16	13	14	11	14	13	14	11	8	1	2	2	1	1	1	1	2	1	6	2	5	2	4	2	4	5	0
P48730	CSNK1D	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48735	IDH2	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48739	PITPNB	271	12	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	13	9	10	8	5	10	6	17	4	16	14	16	11	13	14	14	11	2	16	22	0	0	0	0	0	0	2	16	15	16	11	16	13	17	16	3
P48745	CCN3	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49005	POLD2	469	1	2	1	5	1	5	2	2	4	2	5	12	8	10	11	12	13	2	6	1	8	1	6	2	5	3	0	2	0	4	3	3	1	3	2	0	2	2	2	36	30	0	6	4	0	0	0	4	6	2	1	7	4	7	10	5	7	7	7	7	8	1	7	11	8	9	8	6	8	10	1	1	1	11	12	9	9	3	7	0	4	5	5	4	3	4	6	3	0
P49006	MARCKSL1	195	9	11	10	1	0	0	1	3	2	2	0	0	0	0	0	2	2	0	2	0	1	0	0	2	5	3	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	1	0	0	12	5	6	3	7	8	10	10	4	6	9	18	8	10	7	7	11	12	8	11	11	11	0	0	0	0	0	2	11	16	14	17	13	20	15	15	17	13
P49023	PXN	591	0	0	0	14	4	15	17	1	15	1	11	1	0	0	1	0	1	0	14	0	18	0	12	9	6	8	0	0	0	6	6	16	19	7	6	6	11	20	15	7	5	4	10	8	6	4	2	1	9	12	13	0	3	5	5	7	4	8	3	6	5	0	3	5	6	2	8	8	6	2	0	8	11	0	0	3	0	9	8	0	3	2	3	3	1	1	2	1	0
P49069	CAMLG	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49116	NR2C2	596	0	0	0	0	0	0	0	0	0	0	0	2	2	2	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	30	28	0	1	2	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	18	15	6	4	0	0	0	0	0	0	0	0	0	0
P49137	MAPKAPK2	400	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P49189	ALDH9A1	494	0	1	0	3	3	1	2	3	6	3	2	4	2	2	2	2	2	0	3	2	3	0	3	1	1	3	0	0	0	5	4	8	4	1	2	3	2	1	0	10	5	2	2	4	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	3	0	0	0	2	1	2	1	1	3	3	0	0	1	1	0	0	0	1	2	0
P49207	RPL34	117	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	3	3	2	0	0	2	2	3	2	3	3	0	0	11	10	0	0	0	2	2	3	2	3	0	0	0	1	0	0	2	2	0	0	0	0	0	1	2	1	1	1	1	1	0	0	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	1	0
P49247	RPIA	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49257	LMAN1	510	3	4	6	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	3	1	0	0	7	7	8	6	5	6	6	6	7	6	0	4	4	3	4	3	3	3	3	0	13	10	0	0	0	0	1	0	0	3	4	5	4	3	7	6	7	0
P49321	NASP	788	9	7	8	63	36	61	62	38	59	46	50	73	81	102	91	86	95	51	46	54	62	44	63	63	63	61	35	37	33	56	55	83	96	76	64	75	61	67	72	164	154	78	74	62	73	79	65	69	62	44	41	30	24	24	26	23	28	24	24	23	29	28	40	37	52	50	38	34	40	55	19	56	57	100	91	115	110	66	68	4	13	16	17	11	17	17	17	16	5
